Device_ID,W,L,length,width,N,nm,hop,SOC,E,energy,Transmission,Average-LDOS,M(E)
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.876,1.10886075949367,19.8121295496049,0.703350388793273,64
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.883,1.11772151898734,19.8933834130209,0.696032627885418,64
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.891,1.12784810126582,19.9610616032384,0.685051453649652,64
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.898,1.13670886075949,19.9788671210152,0.673334500998578,64
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.906,1.14683544303797,19.948751413526,0.661217701781205,64
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.914,1.15696202531646,19.8827456087024,0.654052432605106,64
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.921,1.16582278481013,19.8096718758956,0.652689817078521,64
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.929,1.17594936708861,19.7077203801734,0.655242854562487,64
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.936,1.18481012658228,19.6087630592192,0.658681294927828,64
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.944,1.19493670886076,19.4782268170021,0.660035179799627,64
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.951,1.20379746835443,19.1222599722237,0.629826714324867,62
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.959,1.21392405063291,19.1006381050265,0.611576359700311,60
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.966,1.22278481012658,19.1453275177144,0.609477729812618,60
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.974,1.23291139240506,19.15492619765,0.615209137052815,60
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.981,1.24177215189873,19.0735750409438,0.625741046379645,60
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.989,1.25189873417722,18.9383941072799,0.636895054267348,60
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.996,1.26075949367089,18.9298244300969,0.635025284848783,60
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,1.004,1.27088607594937,18.961640215399,0.624208126108481,60
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,1.011,1.27974683544304,18.9286959533611,0.616703938868995,60
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,1.019,1.28987341772152,18.8352992108764,0.61340865276671,60
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,1.026,1.29873417721519,18.7299141278904,0.614625518491202,60
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,1.034,1.30886075949367,18.5993939323308,0.619618353450086,60
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,1.041,1.31772151898734,18.4807563554843,0.627161887179337,60
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,1.049,1.32784810126582,18.3114667137457,0.64246022476678,60
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,1.056,1.33670886075949,17.6209553739631,0.68757799651707,60
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,1.064,1.34683544303797,17.2661161964216,0.604054537561147,56
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,1.071,1.35569620253165,17.1917891033295,0.556686771544163,56
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,1.079,1.36582278481013,17.1693017639853,0.532617925026146,56
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,1.086,1.3746835443038,17.1529650945409,0.523015831815195,56
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,1.094,1.38481012658228,17.1266549702072,0.518118251190666,56
